timestamp,station_name,free_bikes,latitude,longitude
2026-01-29 21:19:31,J1-57.トレインチ自由が丘,3,35.606667,139.667324
2026-01-29 21:19:31,H1-11.テレコムセンター駅,0,35.61813,139.778698
2026-01-29 21:19:31,M3-19.渋谷キャスト,9,35.662146,139.702793
2026-01-29 21:19:31,N1-10.AXAS中野大和町,1,35.71475,139.65359
2026-01-29 21:19:31,M5-09.代々木上原駅前,3,35.66865,139.679251
2026-01-29 21:19:31,I1-55.鈴ヶ森公園,28,35.593559,139.734704
2026-01-29 21:19:31,D1-06.四谷第六小学校北,3,35.681754,139.715256
2026-01-29 21:19:31,K1-187.ＴＳＫビル,2,35.578239,139.759175
2026-01-29 21:19:31,K1-106.ファミリーマート上池台夫婦坂店,4,35.599329,139.703343
2026-01-29 21:19:31,A2-19.猿楽町SSビル西,8,35.698641,139.759306
2026-01-29 21:19:31,I1-142.PREMIUM CUBE 品川大崎2,1,35.625013,139.73111
2026-01-29 21:19:31,T3-38.エクセリア練馬,2,35.73897,139.65514
2026-01-29 21:19:31,B2-07.東京証券会館（北側）,0,35.680864,139.779331
2026-01-29 21:19:31,G2-16.レガスタ東向島,0,35.72458,139.82043
2026-01-29 21:19:31,H1-194.セブン-イレブン江東北砂5丁目店,11,35.68268,139.8353
2026-01-29 21:19:31,O3-01.西田公園,2,35.69575,139.62065
2026-01-29 21:19:31,G4-31.石原3丁目,3,35.700463,139.804022
2026-01-29 21:19:31,K1-44.中馬込貝塚公園,2,35.594795,139.704951
2026-01-29 21:19:31,N3-12.桃園区民活動センター,0,35.702414,139.667327
2026-01-29 21:19:31,I1-51.京急鈴ヶ森駐車場,5,35.589573,139.735585
2026-01-29 21:19:31,I1-82.トミンハイム西五反田四丁目,6,35.627386,139.711182
2026-01-29 21:19:31,H1-135.北砂5丁目団地,14,35.684218,139.832843
2026-01-29 21:19:31,E4-10.白山四丁目第二児童遊園横,9,35.720349,139.746924
2026-01-29 21:19:31,C1-74.札の辻スクエア,0,35.645155,139.744543
2026-01-29 21:19:31,H1-62.扇橋一丁目公園南,33,35.683343,139.812161
2026-01-29 21:19:31,H1-242.木場MAビル,4,35.672199,139.803232
